Date,High,Low,Close,Tmrw_return,High-1,Low-1,Tmrw_return-1,High-2,Low-2,Tmrw_return-2,High-3,Low-3,Tmrw_return-3,High-4,Low-4,Tmrw_return-4,High-5,Low-5,Tmrw_return-5,High-6,Low-6,Tmrw_return-6,High-7,Low-7,Tmrw_return-7,High-8,Low-8,Tmrw_return-8,High-9,Low-9,Tmrw_return-9,High-10,Low-10,Tmrw_return-10,Tmrw_Class,expect_ret,Ticker
2011-12-05,16.139999,15.83,15.89,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,16.049999,15.7,-0.0132703369209,16.219999,15.84,0.0198640920001,16.700001,16.25,-0.0571583534535,16.700001,16.450001,-0.00421814450191,16.440001,15.86,0.0200431866095,16.700001,16.18,0.00368771172949,3.0,0.00389774062103,YHOO
2011-12-07,15.86,15.56,15.62,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,16.049999,15.7,-0.0132703369209,16.219999,15.84,0.0198640920001,16.700001,16.25,-0.0571583534535,16.700001,16.450001,-0.00421814450191,16.440001,15.86,0.0200431866095,3.0,0.00388264022286,YHOO
2011-12-23,16.26,15.87,16.190001,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,16.049999,15.7,-0.0132703369209,16.219999,15.84,0.0198640920001,16.700001,16.25,-0.0571583534535,16.700001,16.450001,-0.00421814450191,2.0,-0.0087798484463,YHOO
2011-12-30,16.209999,16.030001,16.129999,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,16.049999,15.7,-0.0132703369209,16.219999,15.84,0.0198640920001,16.700001,16.25,-0.0571583534535,3.0,0.00377448660224,YHOO
2012-01-03,16.389999,16.200001,16.290001,-0.0318081685836,16.209999,16.030001,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,16.049999,15.7,-0.0132703369209,16.219999,15.84,0.0198640920001,1.0,-0.0478046499376,YHOO
2012-01-05,15.69,15.44,15.64,-0.00770222036209,16.389999,16.200001,-0.0318081685836,16.209999,16.030001,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,16.049999,15.7,-0.0132703369209,2.0,-0.00886212133767,YHOO
2012-01-12,15.73,15.45,15.66,-0.0115608224011,15.69,15.44,-0.00770222036209,16.389999,16.200001,-0.0318081685836,16.209999,16.030001,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,15.24,14.83,0.0106525641162,2.0,-0.00875439396743,YHOO
2012-01-13,15.67,15.43,15.48,-0.00323520178651,15.73,15.45,-0.0115608224011,15.69,15.44,-0.00770222036209,16.389999,16.200001,-0.0318081685836,16.209999,16.030001,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,16.040001,15.65,0.032563929259,3.0,0.00342030178097,YHOO
2012-01-20,16.110001,15.85,15.96,-0.0176995770994,15.67,15.43,-0.00323520178651,15.73,15.45,-0.0115608224011,15.69,15.44,-0.00770222036209,16.389999,16.200001,-0.0318081685836,16.209999,16.030001,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,16.459999,16.09,-0.0111525942558,1.0,-0.0478046499376,YHOO
2012-01-25,15.71,15.46,15.56,-0.00192988158965,16.110001,15.85,-0.0176995770994,15.67,15.43,-0.00323520178651,15.73,15.45,-0.0115608224011,15.69,15.44,-0.00770222036209,16.389999,16.200001,-0.0318081685836,16.209999,16.030001,0.00987065386047,16.26,15.87,-0.00619586845177,15.86,15.56,-0.000640409884199,16.139999,15.83,-0.00315159416234,16.41,16.030001,-0.0100188067221,3.0,0.00344840271957,YHOO
