Date,High,Low,Close,Tmrw_return
2007-01-03,23.92,22.98,18.812547,0.0333153685219
2007-01-04,24.219999,23.200001,19.449851,-0.0029075870815
2007-01-05,24.51,23.780001,19.393381,0.0144540234284
2007-01-08,24.440001,23.75,19.675729,0.0190869192611
2007-01-10,24.940001,24.52,20.038751,0.000804816049653
2007-01-12,24.950001,24.6,20.054885,0.0151699546723
2007-01-16,25.77,24.549999,20.361436,-0.005163830471
2007-01-17,25.25,24.879999,20.256564,-0.0270450528035
2007-01-18,25.18,24.34,19.716066,-0.00122828085833
2007-01-19,24.6,24.33,19.691864,0.00286357784452
2007-01-22,24.530001,24.280001,19.748334,0.00407663141385
2007-01-23,24.700001,24.4,19.829005,0.00203207533612
2007-01-24,24.68,24.450001,19.86934,-0.0143121676703
2007-01-25,24.700001,24.27,19.586992,0.0155294840102
2007-01-26,24.67,24.120001,19.893542,-0.00487803030851
2007-01-29,24.67,24.5,19.796737,0.00609386659078
2007-01-30,24.75,24.450001,19.917744,-0.00568650868947
2007-01-31,24.84,24.24,19.804803,0.0181640286944
2007-02-01,25.030001,24.5,20.167825,0.0654131399416
2007-02-05,26.67,26.4,21.4747,-0.00451810056945
2007-02-06,26.58,26.4,21.377894,0.013121109043
2007-02-07,26.889999,26.5,21.660244,0.00408839934845
2007-02-08,27.0,26.75,21.748981,-0.0100652531852
2007-02-09,27.0,26.459999,21.53117,-0.00638978827402
2007-02-12,26.84,26.48,21.394029,0.0105026462259
2007-02-14,26.940001,26.549999,21.652177,-0.00111838805569
2007-02-16,27.040001,26.639999,21.627975,0.0148095917962
2007-02-20,27.25,26.790001,21.95066,-0.000735282321779
2007-02-21,27.290001,27.01,21.934526,-0.00553196403751
2007-02-22,27.459999,26.92,21.81352,-0.000739952575449
2007-02-23,27.1,26.860001,21.797385,-0.00817549784234
2007-02-26,27.23,26.74,21.619907,-0.0230241391566
2007-02-27,26.799999,25.75,21.127814,-0.00574384341493
2007-02-28,26.190001,25.690001,21.006807,-0.00654981092983
2007-03-01,26.360001,25.5,20.869666,-0.0147978288656
2007-03-02,25.860001,25.469999,20.563114,-0.00787712843924
2007-03-05,25.58,25.01,20.401772,0.00473370927799
2007-03-06,25.49,25.129999,20.498577,-0.00988735334264
2007-03-07,25.370001,25.1,20.296899,0.00633916155206
2007-03-08,25.43,25.139999,20.425973,0.00276075403391
2007-03-09,25.690001,25.26,20.482442,0.0129134903463
2007-03-13,25.67,25.030001,20.239636,0.0055732760928
2007-03-14,25.25,24.65,20.352752,0.00672604813609
2007-03-15,25.450001,25.09,20.490107,-0.00553581215245
2007-03-16,25.5,25.129999,20.376991,0.0219617186001
2007-03-19,25.83,25.26,20.829455,0.00965070307018
2007-03-20,26.07,25.620001,21.031447,0.0156282721312
2007-03-21,26.6,25.870001,21.362714,0.00415170255531
2007-03-22,26.610001,26.290001,21.45159,0.00825214275629
2007-03-23,27.030001,26.34,21.629344,0.00149305867383
2007-03-26,26.83,26.4,21.661662,-0.0157897930385
2007-03-27,26.809999,26.360001,21.322315,-0.00798936194411
2007-03-28,26.51,25.889999,21.152642,-0.00536190832024
2007-03-29,26.42,25.91,21.039527,-0.00500486857159
2007-03-30,26.120001,25.700001,20.93449,-0.00231838545189
2007-04-03,26.16,25.940001,21.112243,-0.00421857577502
2007-04-04,26.16,25.889999,21.023367,0.0126028045927
2007-04-09,26.4,26.09,21.20112,-0.00611622123003
2007-04-10,26.200001,25.860001,21.071845,-0.00461187659224
2007-04-11,26.16,25.889999,20.974888,0.0152908743007
2007-04-12,26.4,25.9,21.298077,-0.000379448955449
2007-04-13,27.0,26.17,21.289997,0.00454367845288
2007-04-16,26.5,26.26,21.386952,0.00452321987691
2007-04-17,26.629999,26.370001,21.483909,-0.00376790430794
2007-04-19,26.559999,26.25,21.403112,0.0060218417703
2007-04-20,26.77,26.48,21.532387,0.000375178301153
2007-04-23,27.049999,26.51,21.540467,0.00486441335868
2007-04-24,27.030001,26.66,21.645504,0.017391711647
2007-04-26,27.77,27.07,22.227241,-0.00766289108758
2007-04-27,27.58,27.129999,22.057567,-0.00146624053191
2007-04-30,27.73,27.200001,22.025249,0.00949258346416
2007-05-01,27.57,27.01,22.235321,-0.0102265561527
2007-05-02,27.870001,27.24,22.009089,0.0185493838148
2007-05-03,27.780001,27.23,22.421154,0.014666669098
2007-05-04,28.32,27.85,22.752421,0.00141950020632
2007-05-07,28.4,28.16,22.784741,0.000354472687199
2007-05-08,28.459999,27.99,22.792819,-0.00390687632202
2007-05-09,28.190001,27.860001,22.703944,-0.00678456373095
2007-05-10,28.25,27.889999,22.550429,0.00357654389275
2007-05-11,28.059999,27.76,22.631226,-0.0111291515766
2007-05-15,27.92,27.450001,22.178764,0.00906622798379
2007-05-16,27.700001,27.290001,22.380756,-0.00144509674585
2007-05-17,27.74,27.559999,22.348437,-0.00217154582889
2007-05-18,27.700001,27.51,22.299959,0.0115274941209
2007-05-21,28.02,27.73,22.558509,0.00749331824332
2007-05-22,28.42,27.870001,22.728182,-0.0103627801608
2007-05-23,28.1,27.219999,22.493871,-0.0850540570643
2007-05-24,26.549999,25.51,20.65978,0.0170613102371
2007-05-25,26.15,25.32,21.015287,-0.000384555952323
2007-05-29,26.08,25.6,21.007207,0.0145095900317
2007-05-30,26.41,25.85,21.314235,0.00567009444572
2007-05-31,26.690001,26.35,21.435432,-0.0128985264097
2007-06-01,26.639999,26.18,21.160722,-0.00535995045774
2007-06-04,26.200001,25.959999,21.047605,-0.00654730756225
2007-06-05,25.99,25.73,20.91025,-0.00348358962174
2007-06-07,25.870001,25.379999,20.514345,0.00940816038832
2007-06-08,25.629999,25.129999,20.708258,-0.0046929917912
2007-06-11,25.73,25.35,20.611302,-0.0023547322521
2007-06-12,25.690001,24.719999,20.562825,0.0132710458774
2007-06-13,25.84,25.389999,20.837534,0.00154974979579
2007-06-14,25.969999,25.690001,20.869852,0.000774023059698
2007-06-15,26.1,25.719999,20.886012,-0.00659813091421
2007-06-18,25.82,25.52,20.748657,0.00155638299534
2007-06-19,25.809999,25.42,20.780975,0.0150728003456
2007-06-20,26.450001,25.719999,21.096575,0.00344632114822
2007-06-21,26.25,25.799999,21.169406,-0.0154086146436
2007-06-22,26.040001,25.6,20.845715,0.00116392622763
2007-06-26,25.950001,25.42,20.740515,0.00622330402662
2007-06-27,25.82,25.57,20.869992,-0.00505347758643
2007-06-28,25.75,25.5,20.764792,0.00660325892044
2007-06-29,25.9,25.530001,20.902361,0.00154743099541
2007-07-02,25.879999,25.48,20.934731,-0.00038665721137
2007-07-05,25.780001,25.299999,20.805253,0.00426936008256
2007-07-09,25.940001,25.65,20.926638,-0.0148035587309
2007-07-10,25.870001,25.440001,20.619131,0.00508908649431
2007-07-11,25.700001,25.32,20.724331,0.0189524256349
2007-07-12,26.139999,25.58,21.120853,-0.00383878541228
2007-07-13,26.120001,25.9,21.03993,0.00728110470969
2007-07-16,26.35,25.84,21.193683,0.00190728656764
2007-07-17,26.450001,26.09,21.234144,0.00380374139343
2007-07-18,26.379999,26.08,21.315067,0.0128255460797
2007-07-19,26.75,26.35,21.590205,-0.00488453621493
2007-07-23,26.98,26.59,21.525467,-0.0113423506165
2007-07-24,26.85,26.25,21.282697,0.00946080823877
2007-07-25,26.950001,26.48,21.485004,-0.0224728304644
2007-07-26,26.559999,25.549999,21.00756,-0.0285231060895
2007-07-27,25.91,25.219999,20.416824,0.000792414541666
2007-07-30,25.33,24.879999,20.433009,-0.0067554511185
2007-07-31,25.530001,24.940001,20.29544,0.00238945376532
2007-08-02,26.379999,25.700001,21.056115,-0.0272709409319
2007-08-03,26.23,25.32,20.489654,0.0195547871596
2007-08-06,25.92,25.25,20.894268,-0.000774914527071
2007-08-07,26.09,25.030001,20.878083,-0.0243243958598
2007-08-08,26.139999,24.780001,20.376363,-0.0479961914793
2007-08-09,25.17,23.27,19.421474,0.00581633762869
2007-08-10,24.389999,23.059999,19.534765,0.0070175844719
2007-08-13,25.41,24.18,19.672334,-0.0145020244157
2007-08-14,24.65,23.889999,19.389104,-0.0138687209864
2007-08-15,24.25,23.559999,19.122058,-0.00935374828606
2007-08-16,23.639999,22.860001,18.944029,0.0135767899459
2007-08-17,24.57,23.18,19.202982,0.0175442693492
2007-08-20,24.23,23.65,19.542857,-0.00414939365307
2007-08-21,24.4,23.92,19.461934,0.0152675040501
2007-08-22,24.52,24.049999,19.761349,0.016247300125
2007-08-23,24.879999,24.5,20.08504,0.00482319193748
2007-08-24,25.120001,24.639999,20.182148,0.00160255837592
2007-08-27,25.200001,24.860001,20.214517,-0.0206276619948
2007-08-28,24.82,24.4,19.80181,0.0182228355341
2007-08-29,25.049999,24.559999,20.165963,0.00160384354235
2007-08-30,25.15,24.76,20.198332,0.00917257382891
2007-08-31,25.450001,25.07,20.384455,0.00554237709642
2007-09-04,25.530001,25.129999,20.497747,0.00433327020108
2007-09-05,25.459999,25.07,20.586762,0.00235572900784
2007-09-06,25.700001,25.139999,20.635316,-0.0142182928366
2007-09-07,25.370001,24.91,20.343993,-0.00399198351884
2007-09-11,25.200001,24.84,20.254836,-0.0116724453858
2007-09-12,24.879999,24.610001,20.019787,0.00202220128298
2007-09-13,25.0,24.66,20.060312,-0.00404860025534
2007-09-17,24.84,24.34,20.044102,0.0164431096028
2007-09-18,25.209999,24.799999,20.376414,0.0181321905367
2007-09-20,25.860001,25.52,20.822199,0.0100698177559
2007-09-25,26.049999,25.280001,20.887041,0.00271264285535
2007-09-26,26.190001,25.66,20.943777,-0.00426610318828
2007-09-28,25.809999,25.549999,20.846514,0.00697406089045
2007-10-02,25.969999,25.700001,21.000513,-0.00930598804156
2007-10-03,25.879999,25.52,20.805989,0.00814744070806
2007-10-04,25.91,25.629999,20.976197,0.00539502847911
2007-10-05,26.120001,25.700001,21.08967,0.00880051284636
2007-10-08,26.639999,25.9,21.276089,0.00759019094583
2007-10-10,26.879999,26.299999,21.648926,-0.00262417059533
2007-10-11,26.98,26.559999,21.59219,0.00224976323705
2007-10-12,26.93,26.559999,21.640822,-0.00563388037448
2007-10-15,26.700001,26.280001,21.519243,-0.0140339154776
2007-10-18,26.139999,25.84,21.12209,-0.0178091662466
