Date,High,Low,Close,Tmrw_return
2015-11-16,32.900002,30.5,31.32031,0.0331436581674
2015-11-17,33.439999,32.189999,32.375774,0.00136379374025
2015-11-18,33.279999,33.0,32.419958,-0.0158733642087
2015-11-19,33.189999,32.5,31.909407,-0.00927359337828
2015-11-20,32.990002,32.060001,31.61486,0.00773399098964
2015-11-23,32.59,32.25,31.860317,-0.0145897950832
2015-11-24,32.790001,31.48,31.398856,-0.0509970887816
2015-11-25,32.009998,30.0,29.83775,-0.0396025279562
2015-11-27,30.99,29.08,28.679192,0.075793900962
2015-11-30,32.599998,29.049999,30.937398,-0.0302858447883
2015-12-01,31.52,29.98,30.014479,0.00619603185965
2015-12-02,31.17,30.0,30.201027,-0.0452205056567
2015-12-03,30.799999,27.51,28.86574,-0.0136988037421
2015-12-04,30.040001,28.639999,28.47301,-0.012840770127
2015-12-07,29.209999,28.469999,28.109732,-0.0254700325709
2015-12-08,28.75,26.719999,27.402817,0.00607254086249
2015-12-09,28.75,26.950001,27.569728,0.0162490741701
2015-12-10,28.780001,27.601999,28.02137,0.0132267280093
2015-12-11,29.209999,27.91,28.394463,-0.0174402763317
2015-12-14,29.23,28.139999,27.903549,-0.0318167726755
2015-12-15,28.940001,27.450001,27.029723,-0.00327449721892
2015-12-16,28.059999,26.799999,26.941359,-0.0284624828816
2015-12-17,27.84,26.370001,26.185351,0.0291910225381
2015-12-18,27.75,26.26,26.960994,-0.00364827819495
2015-12-21,28.129999,26.77,26.862812,-0.0102866515287
2015-12-22,27.76,26.84,26.5879,-0.00258828196624
2015-12-23,27.43,26.9,26.519172,0.0367114023749
2015-12-24,28.43,26.68,27.510819,0.0511326446815
2015-12-28,29.530001,27.879999,28.954105,0.00338525078655
2015-12-29,30.15,29.245001,29.052288,0.00874839874906
2015-12-30,30.17,29.459999,29.307564,0.00836821412793
2015-12-31,30.34,29.610001,29.553845,-0.0277138352047
2016-01-04,29.747999,28.860001,28.74604,-0.0232286446603
2016-01-05,29.48,28.004999,28.086004,-0.0159098400255
2016-01-06,28.360001,27.870001,27.642696,-0.021250588948
2016-01-07,28.110001,27.34,27.06147,0.00797686674211
2016-01-08,28.059999,27.190001,27.278199,0.0143422942627
2016-01-11,28.209999,27.360001,27.67225,0.0325716347317
2016-01-12,29.110001,27.809999,28.58842,-0.00899973829564
2016-01-13,29.309999,28.440001,28.332286,0.0134693805006
2016-01-14,29.299999,28.620001,28.716486,-0.0253617701183
2016-01-15,28.639999,27.92,27.997343,0.0139764230384
2016-01-19,29.15,28.48,28.391393,-0.0317263008188
2016-01-20,28.629999,27.110001,27.504778,-0.0409414081762
2016-01-21,28.25,26.65,26.401434,0.0384311320335
2016-01-22,27.950001,26.49,27.43582,-0.0496882696923
2016-01-25,27.65,26.42,26.105896,0.0116302296
2016-01-27,26.809999,24.74,25.721697,-0.00846162025697
2016-01-28,26.48,25.6,25.504968,0.0337985821206
2016-01-29,26.92,25.709999,26.381733,0.00111957996139
2016-02-01,27.059999,26.379999,26.411286,-0.0131408374336
2016-02-02,26.620001,26.02,26.06649,-0.0110203973752
2016-02-03,26.620001,25.49,25.780804,-0.0126900260992
2016-02-05,25.879999,24.5,24.273557,-0.073670995
2016-02-08,24.280001,20.98,22.549583,-0.0243213187853
