Date,High,Low,Close,Tmrw_return
2007-01-03,14.49,14.24,5.60891,-0.0147320390696
2007-01-05,14.23,14.02,5.511262,0.00283073063483
2007-01-09,14.2,14.01,5.495638,-0.00213451296474
2007-01-10,14.08,13.92,5.48392,0.00780419198533
2007-01-11,14.2,14.04,5.526885,0.00352740741248
2007-01-12,14.24,14.09,5.546415,0.00981087685075
2007-01-16,14.36,14.13,5.601098,-0.00840339045679
2007-01-17,14.41,14.19,5.554227,0.0118841419416
2007-01-18,14.4,14.22,5.620628,-0.00767370926105
2007-01-22,14.33,14.18,5.577662,0.0145988981587
2007-01-23,14.5,14.25,5.659687,-0.000690382431401
2007-01-24,14.5,14.33,5.655781,-0.0118098392289
2007-01-25,14.5,14.29,5.58938,0.00765750540957
2007-01-26,14.44,14.22,5.632345,0.000693254094199
2007-01-29,14.5,14.37,5.636251,0.012396911632
2007-01-31,14.69,14.5,5.726088,-0.00341653524431
2007-02-01,14.71,14.55,5.706558,0.00885865422212
2007-02-02,14.78,14.61,5.757335,0.00203324823647
2007-02-05,14.79,14.64,5.769053,-0.00475069272963
2007-02-08,14.79,14.65,5.772959,-0.00678884655038
2007-02-09,14.78,14.6,5.7339,-0.00752154518162
2007-02-12,14.72,14.52,5.690934,0.00888286724216
2007-02-13,14.7,14.57,5.741711,0.0128424232085
2007-02-14,14.9,14.59,5.815924,0.0126794146344
2007-02-15,15.16,14.85,5.890136,-0.00932718969343
2007-02-16,15.08,14.83,5.835453,0.0046745546493
2007-02-20,15.05,14.94,5.862795,-0.00266849780288
2007-02-22,15.21,14.95,5.870607,-0.0113752084932
2007-02-23,15.04,14.82,5.804206,0.00737512737724
2007-02-26,15.08,14.9,5.847171,-0.0298327671067
2007-02-27,15.09,14.01,5.67531,0.0358269044944
2007-02-28,15.11,14.54,5.882325,-0.0147160918567
2007-03-01,15.0,14.54,5.796394,-0.00269893527189
2007-03-02,15.02,14.7,5.780771,-0.0136057349949
2007-03-05,14.91,14.57,5.702652,0.0142811952362
2007-03-06,14.84,14.64,5.784677,-0.00827592510643
2007-03-07,14.67,14.42,5.737001,0.00758887464846
2007-03-08,14.62,14.48,5.780704,-0.00620478873055
2007-03-09,14.71,14.46,5.744947,0.0130541435651
2007-03-12,14.74,14.38,5.820434,-0.0109815999989
2007-03-13,14.77,14.49,5.756866,-0.00276434706346
2007-03-14,14.5,14.35,5.740974,-0.00903727042026
2007-03-15,14.47,14.25,5.689325,-0.000698569315255
2007-03-16,14.46,14.22,5.685352,0.00696382986983
2007-03-19,14.41,14.32,5.725082,0.00622625134084
2007-03-20,14.53,14.38,5.760839,0.017772203381
2007-03-21,14.85,14.52,5.864137,-0.0102146126685
2007-03-22,14.82,14.55,5.804542,0.00136799186008
2007-03-23,14.72,14.43,5.812488,0.0034118146001
2007-03-26,14.73,14.6,5.832353,0.00611208484932
2007-03-27,15.58,14.5,5.86811,-0.00203321359731
2007-03-28,14.78,14.64,5.856191,0.0033863963116
2007-03-29,14.9,14.62,5.876056,0.010759874788
2007-03-30,14.99,14.75,5.939623,0.00666670478231
2007-04-02,15.11,14.87,5.979353,0.0105751361878
2007-04-03,15.21,15.04,6.042921,-0.00858376081031
2007-04-04,15.22,15.05,5.991272,0.00463117862995
2007-04-05,15.21,15.01,6.019083,0.00329490245494
2007-04-09,15.23,15.01,6.038948,0.0143699686333
2007-04-13,15.46,15.29,6.086624,0.00650621660832
2007-04-16,15.45,15.32,6.126354,0.00388350761845
2007-04-19,15.93,15.42,6.205814,0.0152481010563
2007-04-20,16.0,15.7,6.301166,-0.00442339638175
2007-04-23,15.92,15.68,6.273355,-0.00126742971854
2007-04-24,15.89,15.72,6.265409,0.0075805940377
2007-04-25,15.95,15.76,6.313085,-0.01139255006
2007-04-26,15.9,15.69,6.241571,-0.00638573005661
2007-04-27,15.75,15.5,6.201841,-0.0025657536523
2007-04-30,15.74,15.53,6.185949,0.0133973553877
2007-05-01,15.84,15.5,6.269382,0.00820454257171
2007-05-04,15.74,15.59,6.233625,-0.00896294545128
2007-05-07,15.72,15.35,6.178003,-0.00451177924701
2007-05-08,15.5,15.33,6.150192,0.0109220700193
2007-05-09,15.75,15.26,6.217733,-0.015454297712
2007-05-10,15.72,15.41,6.122381,0.00517801521953
2007-05-11,15.59,15.37,6.154165,-0.0025856561333
