Date,High,Low,Close,Tmrw_return
2007-10-01,28.4,26.1,27.98,-0.0154874699361
2007-10-02,29.5,27.049999,27.549999,-0.0369727892781
2007-10-05,27.43,26.32,27.15,0.00441015047755
2007-10-08,27.450001,27.0,27.27,0.00292933201049
2007-10-12,28.5,26.5,28.4,0.0236615074982
2007-10-22,28.889999,27.17,27.809999,0.00287253349667
2007-10-24,28.26,27.5,28.26,0.00670081846534
2007-10-26,29.690001,28.5,28.9,-0.0377270195806
2007-10-29,28.9,27.629999,27.83,0.0181596587247
2007-11-05,28.0,27.18,27.4,-0.00548949228477
2007-11-12,25.08,24.59,24.85,0.0433138956049
2007-11-13,25.950001,24.75,25.950001,-0.0372958232793
2007-11-15,25.09,24.23,24.41,-0.0253073457442
2007-11-19,23.74,23.129999,23.129999,0.0419109803089
2007-11-20,24.360001,22.35,24.120001,-0.00457100308519
2007-11-26,25.33,24.25,24.26,0.0135109527122
2007-11-27,24.6,23.969999,24.59,0.0595954581005
2007-11-30,26.58,25.65,25.959999,0.00882084338705
2007-12-05,27.309999,26.66,26.780001,0.0033550822393
2007-12-07,27.23,26.290001,26.52,0.00638983556599
2007-12-10,26.860001,26.440001,26.690001,-0.044043111125
2007-12-11,27.120001,25.48,25.540001,0.0239856368303
2007-12-13,26.719999,25.9,26.629999,0.0182331376711
2007-12-17,27.0,26.32,26.67,0.00598132624361
2007-12-18,27.120001,26.459999,26.83,-0.0146426116326
2007-12-20,26.73,26.440001,26.65,0.00822130923177
2007-12-26,27.629999,26.700001,27.040001,-0.00891543795363
2008-01-02,27.9,26.780001,26.84,0.00186112098875
2008-01-07,26.940001,26.75,26.870001,-0.00859665170898
2008-01-08,27.23,26.629999,26.639999,0.0130526188953
2008-01-09,26.99,26.450001,26.99,-0.00967989687909
2008-01-11,26.700001,25.469999,25.75,-0.00897216863316
2008-01-16,26.34,24.959999,25.67,-0.0328677378178
2008-01-17,25.9,24.799999,24.84,-0.0273430623499
2008-01-18,26.0,24.0,24.17,-0.0379472174012
2008-01-23,23.139999,22.25,22.48,0.0189474714399
2008-01-24,23.18,22.25,22.91,0.00478990682833
2008-01-29,23.99,23.360001,23.459999,-0.0158971772332
2008-01-30,23.639999,22.92,23.09,0.0302859152942
2008-01-31,24.02,22.82,23.799999,-0.00801514520827
2008-02-04,24.41,23.52,24.27,-0.0292663027905
2008-02-06,23.709999,23.139999,23.35,-0.00429185208154
2008-02-12,23.0,21.1,21.75,0.0636760803769
2008-02-13,24.16,21.889999,23.18,0.0137105832385
2008-02-14,23.799999,22.99,23.5,0.00931811082089
2008-02-19,24.73,23.84,24.52,0.0173847512097
2008-02-22,24.969999,24.389999,24.93,0.00759248387345
2008-02-26,26.5,25.01,26.030001,0.0175175458603
2008-02-28,26.67,26.030001,26.049999,-0.0319839671587
2008-03-06,26.530001,25.67,25.73,-0.0311846459455
2008-03-10,24.950001,24.16,24.18,0.0245110713695
2008-03-12,25.059999,24.51,24.77,-0.00973634446446
2008-03-14,25.42,23.6,23.709999,-0.045737005972
2008-03-17,24.49,22.549999,22.65,0.0465802185186
2008-03-18,23.82,22.57,23.73,-0.0321157980271
2008-03-25,25.120001,24.030001,24.25,-0.041681470293
2008-03-28,22.99,21.92,21.92,0.00636650641462
2008-03-31,22.26,21.4,22.059999,-0.0665350763307
2008-04-02,21.91,20.68,21.57,0.0188294885744
2008-04-03,22.09,21.280001,21.98,-0.00410308312367
2008-04-04,22.030001,21.68,21.889999,0.00546702968656
2008-04-08,22.42,21.790001,22.23,0.00269546428484
2008-04-11,22.0,21.41,21.52,-0.0311492377823
2008-04-14,21.57,20.76,20.860001,-0.0120570540888
2008-04-21,21.92,21.389999,21.799999,-0.0241422124576
2008-04-22,21.690001,21.09,21.280001,0.0116796463572
2008-04-23,21.700001,21.25,21.530001,0.00417150064144
2008-04-24,21.780001,21.120001,21.620001,0.00691401678193
2008-04-25,21.809999,21.200001,21.77,0.0213595941359
2008-04-28,22.549999,21.700001,22.24,-0.0195239350194
2008-04-29,22.16,21.5,21.809999,-0.0241310084872
2008-04-30,22.059999,21.25,21.290001,0.0245894545291
2008-05-02,22.549999,21.85,22.440001,0.00710478106047
2008-05-08,24.4,21.75,23.379999,0.00384205398303
2008-05-16,25.17,24.700001,25.139999,0.00871300561635
2008-05-19,25.870001,24.98,25.360001,0.000394244026622
2008-05-20,25.58,25.059999,25.370001,-0.00315831280463
2008-05-21,25.879999,25.23,25.290001,0.00630668206607
2008-05-22,25.5,24.950001,25.450001,-0.00472631827568
2008-05-27,25.620001,25.1,25.620001,0.0189450855099
2008-05-30,27.32,26.18,27.01,-0.033888746794
2008-06-09,25.76,24.77,25.24,-0.0147677396486
2008-06-11,24.889999,24.0,24.02,-0.025723535149
2008-06-12,24.18,23.209999,23.41,0.0307068927415
2008-06-13,24.27,23.52,24.139999,-0.00790180863379
2008-06-16,24.309999,23.68,23.950001,-0.0142979721582
2008-06-17,24.200001,23.540001,23.610001,-0.00212007711379
2008-06-18,23.9,23.33,23.559999,0.000424400609476
2008-06-19,23.67,23.360001,23.57,-0.0184120383977
2008-06-23,23.5,23.09,23.34,-0.0238467397219
2008-06-25,23.4,22.76,23.26,-0.0182217623027
2008-06-26,23.18,22.77,22.84,0.0177917472456
2008-06-27,23.299999,22.76,23.25,-0.00474245348305
2008-07-03,22.92,22.23,22.799999,-0.0298263832253
2008-07-07,23.0,21.889999,22.129999,0.0394292944183
2008-07-09,23.540001,22.870001,22.879999,-0.0163034678867
2008-07-10,23.07,22.190001,22.51,-0.00847651740553
2008-07-11,22.620001,21.610001,22.32,0.00669790418034
2008-07-16,22.75,22.1,22.52,-0.00757748221191
2008-07-17,22.68,21.99,22.35,0.0194955660769
2008-07-18,23.5,21.700001,22.790001,-0.00925732841497
2008-07-21,22.76,22.5,22.58,-0.0066652101894
2008-07-22,23.129999,22.26,22.43,0.00799298198598
2008-07-23,22.940001,22.299999,22.610001,-0.0142541382572
2008-07-24,22.959999,22.120001,22.290001,-0.00314545305396
2008-07-25,22.5,21.969999,22.219999,-0.00180175728476
2008-07-28,22.610001,21.969999,22.18,0.0371724213715
2008-07-29,23.02,22.08,23.02,0.00173606818204
2008-08-01,23.58,22.370001,22.389999,0.00133903169615
2008-08-04,22.700001,22.219999,22.42,0.0093229978123
2008-08-05,22.67,22.24,22.629999,0.011423674821
2008-08-08,25.450001,24.4,25.15,0.00119213207045
2008-08-13,24.700001,24.309999,24.459999,0.01340129701
2008-08-19,25.120001,24.780001,24.809999,0.00802898749215
2008-08-20,25.24,24.66,25.01,-0.0206026273388
2008-08-21,24.98,24.35,24.5,0.00772522630863
2008-08-27,24.9,24.48,24.74,0.00604470923838
2008-08-28,25.02,24.6,24.889999,-0.0129398896696
2008-09-02,25.16,24.77,25.0,-0.0462533426239
2008-09-03,25.049999,23.809999,23.870001,-0.0454234897885
2008-09-05,23.74,22.5,23.629999,0.00464434030179
2008-09-10,23.860001,23.370001,23.719999,-0.0127281738014
2008-09-12,23.23,22.65,22.99,-0.0394817302514
2008-09-15,22.690001,21.73,22.1,0.0652452848959
2008-09-16,23.85,21.950001,23.59,-0.0620828697914
2008-09-17,23.57,22.17,22.17,-0.00135414151485
2008-09-18,22.559999,21.219999,22.139999,0.00270645180991
2008-09-19,23.549999,21.17,22.200001,-0.0376364750991
2008-09-22,22.290001,21.280001,21.379999,-0.0079831373952
2008-09-23,22.129999,21.15,21.209999,-0.00852268416329
2008-09-24,21.42,20.950001,21.030001,-0.0806769711964
2008-09-25,21.17,19.200001,19.4,0.0605033773532
2008-09-29,20.59,18.0,18.41,0.0575204703247
2008-09-30,19.540001,17.9,19.5,-0.0339015516757
2008-10-01,19.700001,18.639999,18.85,-0.0550697867422
2008-10-02,19.07,17.790001,17.84,-0.0423646636432
2008-10-07,16.83,15.98,16.07,0.0438293508993
2008-10-10,16.389999,14.5,15.22,0.0849834790049
2008-10-13,16.57,15.2,16.57,-0.0275330323253
2008-10-14,18.0,16.02,16.120001,-0.000620539851092
2008-10-15,16.16,15.49,16.110001,0.0821890297684
2008-10-16,17.49,15.81,17.49,-0.0366852771448
2008-10-20,17.309999,16.5,16.9,-0.0466327917882
2008-10-21,17.190001,16.1,16.129999,-0.10103010356
